Which character was first played by Arnold Schwarzenegger in a 1984 film?|The Demonstrator|The Instigator|The Investigator|The Terminator|The Terminator|0
Which of these kills its victims by constriction?|Andalucia|Anaconda|Andypandy|Annerobinson|Anaconda|0
In the UK, VAT stands for value-added ...?|Transaction|Total|Tax|Trauma|Tax|0
What might an electrician lay?|Tables|Gables|Cables|Stables|Cables|0
How is a play on words commonly described?|Pan|Pin|Pen|Pun|Pun|0
Which colour is used as a term to describe an illegal market in rare goods?|Blue|Red|Black|White|Black|0
Which of these would a film actor like to receive?|Oliver|Oscar|Oliphant|Osbert|Oscar|0
In which country would you expect to be greeted with the word BONJOUR?|Italy|Wales|France|Spain|France|0
Which country is not an island?|Madagascar|Cuba|Germany|Jamaica|Germany|0
What name is given to a playing card with a single symbol on it?|Whizz|Hotshot|Ace|Star|Ace|0
Which of these is a tool for shaping and smoothing wood?|Train|Plane|Car|Bike|Plane|0
What do the Americans call what we call sweets?|Randy|Dandy|Sandy|Candy|Candy|0
What would you expect to see at the London Aquarium?|Flowers|Trees|Steam rollers|Fish|Fish|0
According to the old adage, how many lives does a cat have?|Five|Seven|Nine|Ten|Nine|0
Which of these would be of most use if you wanted to play poker?|Bat & ball|Pack of cards|Swimming trunks|Horse|Pack of cards|0
How many moons orbit the Earth?|One|Two|Three|Four|One|0
By what abbreviation is a compact disc commonly known?|CD|COD|CDIS|COMPD|CD|0
Which country shares a land border with the UK?|Portugal|Libya|Vietnam|Ireland|Ireland|0
A particular hazard for motorists is black ...?|Pudding|Ice|Holes|Mascara|Ice|0
Which is not a type of antelope?|Gorilla|Gerenuk|Gemsbok|Gnu|Gorilla|0
In the nursery rhyme, who met a pieman?|Easy Eric|Plain Peter|Simple Simon|No Frills Fred|Simple Simon|0
Germania was the Roman name for which modern-day European country?|France|Austria|Germany|Spain|Germany|0
Which word follows NORTH and SOUTH to give the names of two continents?|Africa|America|Asia|Australia|America|0
The Nativity is the story of whose birth?|Jesus Christ|Elvis Presley|Winston Churchill|John F Kennedy|Jesus Christ|0
Which is a US-made soap opera?|Johnsons Mere|Thompsons Pond|Dawsons Creek|Madisons Lake|Dawsons Creek|0
Which of the following do bowlers aim to hit during a game of cricket?|Posts|Hoop|Net|Stumps|Stumps|0
How many hours are there in a day?|12|18|24|30|24|0
Which of these countries lies in the Southern Hemisphere?|Canada|Norway|Australia|Japan|Australia|0
What kind of geographical feature is Everest?|River|Sea|Desert|Mountain|Mountain|0
Colgate is a top-selling brand of what?|Ice-cream|Coffee|Toothpaste|Bread|Toothpaste|0
What is the fat between the skin and muscle of whales?|Blabber|Blubber|Blobber|Blebber|Blubber|1
Harrods is a famous department store in which city?|New York|Sydney|Paris|London|London|1
In which sport might a player bogey?|Tennis|Golf|Soccer|Volleyball|Golf|1
Fiji is a nation of islands located in which ocean?|Arctic|Atlantic|Indian|Pacific|Pacific|1
Lino, a type of floor covering, is short for which original term?|Linocut|Linoleic acid|Linoleum|Linotype|Linoleum|1
Part of which continent is the country of Peru?|Africa|Asia|Europe|South America|South America|1
Sake is a fermented alcoholic drink associated with which country?|China|Japan|Thailand|Vietnam|Japan|1
Zeus is the king of the gods in which mythology?|Egyptian|Greek|Hindu|Norse|Greek|1
What kind of geographical feature is Africas Kilimanjaro?|Inland sea|Meteor crater|Salt lake|Volcanic mountain|Volcanic mountain|1
The human heart normally has how many chambers?|Two|Three|Four|Six|Four|1
Which term can apply to a type of furniture?|Reckoner|Recliner|Recorder|Recover|Recliner|1
Which of these planets is larger than Earth?|Mars|Pluto|Saturn|Venus|Saturn|1
Which is a colourful term for a useless possession?|Black rhino|Brown hippo|Grey giraffe|White elephant|White elephant|1
Used in the military, Americas Apache is a type of what?|Helicopter|Missile|Bomber|Tank|Helicopter|1
In a court of law, who usually delivers the verdict?|Prosecutor|Defendant|Bailiff|Jury|Jury|1
The main ingredients of a BLT sandwich are what, lettuce and tomato?|Beetroot|Beef|Banana|Bacon|Bacon|1
Cameron Diaz is one of the stars of the 1999 film: Being John...?|Goodman|Cusack|Travolta|Malkovich|Malkovich|1
Which of these is the abbreviation of a non-invasive diagnostic technique?|MRI|RMI|IMR|IRM|MRI|1
Which of these is not a Japanese dish?|Tsunami|Sashimi|Sukiyaki|Teriyaki|Tsunami|1
Which US TV network was established by Rupert Murdoch?|ESPN|Fox|Lifetime|VH1|Fox|1
Big in the 80s was which band fronted by Boy George?|Aztec Camera|The Boomtown Rats|Culture Club|Depeche Mode|Culture Club|1
Which of the following spirits would you be likely to find in a White-Russian cocktail?|Gin|Rum|Tequila|Vodka|Vodka|1
Complete the name of the Oscar-winning actor, Adrien ...?|Brolin|Bridges|Brody|Bronson|Brody|1
What is another name for a stage hand?|Grasp|Gripe|Grip|Grab|Grip|1
Complete the title of the 2000 film: Dude, Where is my ...?|Car|Surfboard|Script|Plot|Car|1
In which 2003 film is Jim Carrey granted divine powers by God?|Harry the Holy|Al Omnipotent|Gordon Plays God|Bruce Almighty|Bruce Almighty|1
With what is the word: QWERTY  - associated?|Communism|Modern art|Computer keyboard|Wine|Computer keyboard|1
Complete the title of the US TV sci-fi series: Battlestar ...?|Stellar|Galactica|Cosmos|Nebular|Galactica|1
In which of these sports would you make use of the backboard?|Pool|Basketball|Darts|Diving|Basketball|1
Which element has the chemical symbol Co?|Carbon|Calcium|Chromium|Cobalt|Cobalt|1
Which present-day eastern European country was not part of the former USSR?|Hungary|Lithuania|Ukraine|Latvia|Hungary|2
By what name is the national police force of Ireland known?|Taioseach|Craic|Garda|Gael|Garda|2
What name is given to someone who makes, transports or sells something illicit?|Footpadder|Blacklegger|Bootlegger|Trickster|Bootlegger|2
Which US city is particularly associated with the birth of the hippie-movement?|New York|Miami|New Orleans|San Francisco|San Francisco|2
In economics, what does the D stand for in the abbreviation GDP?|Defence|Daily|Dual|Domestic|Domestic|2
Who protected Whitney Houston in the 1992 blockbuster: The Bodyguard?|Kevin Spacey|Kevin Kline|Kevin Costner|Kevin Kennedy|Kevin Costner|2
What would you normally do with a mai tai?|Eat it|Wear it|Drink it|Sing it|Drink it|2
What was the name of the two NASA missions sent to Mars in 1975?|Viking|Visigoth|Saxon|Hun|Viking|2
Which of the following is a popular rock music magazine?|Whizzbang!|Krikes!|Kerrang!|Kerbang!|Kerrang!|2
Which of these should be stored in a humidor?|Mushrooms|Tea|Cigars|Eggs|Cigars|2
Which of these is not a grain crop?|Wheat|Millet|Maize|Soya|Soya|2
In the USA, what is a throw of two ones with a pair of dice called?|Ebony eyes|Black eyes|Snake eyes|Tiger eyes|Snake eyes|2
Which of these deserts is in the USA?|Atacama Desert|Gobi Desert|Sahara Desert|Mojave Desert|Mojave Desert|2
Prior to adopting the euro, what was the main unit of currency of Finland?|Finn|Kroner|Markka|Krug|Markka|2
Who was Brad Pitts partner in the 1995 film: Se7en?|Keanu Reeves|Morgan Freeman|Bruce Willis|Matt Damon|Morgan Freeman|2
What word do Americans use to describe the wing of a motor car?|Buffer|Bumper|Fender|Bender|Fender|2
With which art movement is Andy Warhol most closely associated?|Pop|Impressionist|Cubism|Surrealist|Pop|2
In geometry, what alternative name is given to the longest possible chord of a circle?|Tangent|Radius|Circumference|Diameter|Diameter|2
What nationality is the singer Frida, formerly of Abba?|Swedish|Danish|Finnish|Norwegian|Norwegian|2
Who created the character Huckleberry Finn?|Henry James|Jack London|Mark Twain|Jonathan Swift|Mark Twain|2
From which part of a plant is liquorice obtained?|Leaf|Stem|Sap|Root|Root|2
Of which country is Phnom Penh the capital?|Vietnam|Thailand|Cambodia|Malaysia|Cambodia|2
Which of these chemical elements is named after a Norse god?|Uranium|Neptunium|Osmium|Thorium|Thorium|2
Which of these creatures is a gastropod?|Starfish|Squid|Snail|Centipede|Snail|2
What is the UK equivalent of the CIA in the United States?|SAS|MI5|CND|MI6|MI6|2
What lies at the centre of a heliocentric model of the solar system?|Earth|Sun|Moon|North star|Sun|2
The Smurfs came from which country?|Sweden|Belgium|France|Denmark|Belgium|2
Of which Balkan country is Sarajevo the capital?|Croatia|Macedonia|Bosnia-Herzegovina|Albania|Bosnia-Herzegovina|2
In terms of area, which is the largest public square in the world?|Times Square|Red Square|Tiananmen Square|Trafalgar Square|Tiananmen Square|2
Which was the worlds first credit card?|Barclaycard|American Express|Diners Club|Mastercard|Diners Club|2
Who was the first king of all England?|Athelstan|Athelrand|Athelsam|Athellen|Athelstan|3
In painting, which of these is not a secondary colour?|Green|Orange|Purple|Red|Red|3
Which of these is a species of camel?|Mesopotamian|Persian|Bactrian|Babylonian|Bactrian|3
Who parted from her husband David Gest in July 2003, just 16 months after their glitzy wedding?|Julia Roberts|Liza Minnelli|Lisa Marie Presley|Zsa Zsa Gabor|Liza Minnelli|3
Which president was elected unopposed to a sixth term in March 2003?|George W Bush|Fidel Castro|Mary McAleese|Vladimir Putin|Fidel Castro|3
If you arrived at Split airport, which country would you be in?|Slovenia|Slovakia|Croatia|Hungary|Croatia|3
Which is an extinct bird that originated in New Zealand?|Boa|Coa|Moa|Toa|Moa|3
Who composed the popular musical piece Bolero in 1928?|Rossini|Satie|Liszt|Ravel|Ravel|3
In which country are the Sinhalese the major ethnic group?|Somalia|Sri Lanka|Sudan|Iran|Sri Lanka|3
How many standard-sized champagne bottles does a jeroboam hold?|Two|Four|Six|Eight|Four|3